codice,titolo,autore,editore,editore_norm,anno,genere,tipologia,copie_ragionieri,collocazioni,inventari,prestito,criteri,descrizione,url
SES00015915,"""Cobra"" Galindez / Gianluigi Bonelli, Aurelio Galleppini","Bonelli, Sergio <1932-2011>",,,2009,,Monografia moderna,1,F|TEX|152,bp49685,Ammesso al prestito,soggetto:Fumetti,"Bonelli, Sergio <1932-2011>. ""Cobra"" Galindez / Gianluigi Bonelli, Aurelio Galleppini. - Roma : Gruppo Editoriale L'Espresso, c2009. 302 p. : ill.. ( I fumetti di Repubblica. L'Espresso , Tex : collezione storica a colori )",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/SES00015915
RT10087043,"01 / story Makoto Shinkai, art Ranmaru Kotone","Shinkai, Makoto",BD,BD,2016,Letteratura per Ragazzi ; Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|YOU,bc64860,Ammesso al prestito,"genere:Vignette o Fumetti, soggetto:Manga","Shinkai, Makoto. 01 / story Makoto Shinkai, art Ranmaru Kotone. - Milano : BD, [2016]. 1 volume (senza paginazione) : fumetti b/n ; 17 cm. ( J-pop )",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/RT10087043
RT10087045,"02 / story Makoto Shinkai, art Ranmaru Kotone","Shinkai, Makoto",BD,BD,2016,Letteratura per Ragazzi ; Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|YOU,bc64861,Ammesso al prestito,"genere:Vignette o Fumetti, soggetto:Manga","Shinkai, Makoto. 02 / story Makoto Shinkai, art Ranmaru Kotone. - Milano : BD, [2016]. 1 volume (senza paginazione) : fumetti b/n ; 17 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/RT10087045
RT10087046,"03 / story Makoto Shinkai, art Ranmaru Kotone","Shinkai, Makoto",BD,BD,2017,Letteratura per Ragazzi ; Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|YOU,bc64862,Ammesso al prestito,"genere:Vignette o Fumetti, soggetto:Manga","Shinkai, Makoto. 03 / story Makoto Shinkai, art Ranmaru Kotone. - Milano : BD, [2017]. 1 volume (senza paginazione) : fumetti b/n ; 17 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/RT10087046
LO12084130,"1 / [disegni] Sergei, [storia] Kumanano",,Saldapress,SaldaPress,2023,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|KUM,bc71747,Ammesso al prestito,genere:Vignette o Fumetti,"1 / [disegni] Sergei, [storia] Kumanano. - Reggio Emilia : Saldapress, 2023. 174 p. : fumetti ; 19 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/LO12084130
UBO4348162,"1 / [Mark Millar, John Romita Jr.]","Millar, Mark",Panini Comics,Panini Comics,2018,Vignette o Fumetti,Monografia moderna,1,F|KIC,bp74919,Ammesso al prestito,genere:Vignette o Fumetti,"Millar, Mark. 1 / [Mark Millar, John Romita Jr.]. - Modena : Panini Comics, 2018. 1 volume (senza paginazione) : fumetti ; 27 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4348162
UBO4441803,1 / [storia e disegni] Tsutomu Nihei,,Planet Manga,Planet Manga,2019,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|APO,bc66761,Ammesso al prestito,genere:Vignette o Fumetti,"1 / [storia e disegni] Tsutomu Nihei. - Modena : Planet Manga, 2019. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/UBO4441803
MIL0869109,1 / [Taiyo Matsumoto],"Matsumoto, Taiyo",,,2013,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|SUN,bc64190,Ammesso al prestito,"genere:Vignette o Fumetti, soggetto:Manga","Matsumoto, Taiyo. 1 / [Taiyo Matsumoto]. - Milano : BD ; J-pop, [2013]. 216 p. : fumetti b/n ; 21 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/MIL0869109
BVE0899092,1 / adattamento manga di Akira Aoki,,,,2022,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|STA,bc68301,Ammesso al prestito,genere:Vignette o Fumetti,"1 / adattamento manga di Akira Aoki. - Modena : Planet Manga, ©2022. 1 volume (senza paginazione) : fumetti ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/BVE0899092
LO11755097,1 / Akaza Samamiya,"Samamiya, Akaza",,,2017,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|BAL,bc66643,Ammesso al prestito,genere:Vignette o Fumetti,"Samamiya, Akaza. 1 / Akaza Samamiya. - Milano : BD ; J-pop, [2017?]. 1 volume (senza paginazione) : fumetti b/n ; 18 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/LO11755097
BVE0892541,1 / Amano Jaku,,Star Comics,Star Comics,2021,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|ADO,bc71731,Ammesso al prestito,genere:Vignette o Fumetti,"1 / Amano Jaku. - Bosco (PG) : Star Comics, 2021. 250 p. : fumetti ; 21 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/BVE0892541
BVE0877831,1 / Aoi Ikebe,,Bao publishing,Bao Publishing,2020,Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|PRI,bc67529,Ammesso al prestito,genere:Vignette o Fumetti,"1 / Aoi Ikebe. - Milano : Bao publishing, 2020. 214 p. : fumetti ; 19 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/BVE0877831
BVE0884481,1 / art by Dubu (Redice studio) ; original story by Chugong ; [traduzione di Ilmia Calistri],,Star Comics,Star Comics,2021,Letteratura per Ragazzi ; Vignette o Fumetti,Monografia moderna,1,FT|741.595|2|SOL,bc70686,Ammesso al prestito,genere:Vignette o Fumetti,"1 / art by Dubu (Redice studio) ; original story by Chugong ; [traduzione di Ilmia Calistri]. - Bosco (PG) : Star Comics, 2021. 97 p. : fumetti color. ; 21 cm.",https://opac.comune.firenze.it/it/now/biblioteca-ragionieri-sesto/record/BVE0884481
